"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"
"Total de cliques","27144"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"142","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","9","0,03%"
"143","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.menu-toggle:nth-of-type(2)>SPAN:nth-of-type(2)","9","0,03%"
"144","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(2)","9","0,03%"
"145","#planos-preview","9","0,03%"
"146","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(1)>DIV.pq-card__content:nth-of-type(1)>SPAN.pq-card__link:nth-of-type(1)>SPAN:nth-of-type(1)","9","0,03%"
"147","#orbitHub>DIV.orbit-hub__center:nth-of-type(1)>DIV.orbit-hub__photo:nth-of-type(2)>IMG:nth-of-type(1)","9","0,03%"
"148","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(2)>SPAN.cost-item__value:nth-of-type(2)","9","0,03%"
"149","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(1)","9","0,03%"
"150","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-orbit-benefits:nth-of-type(8)>DIV.cost-orbit-benefit:nth-of-type(2)","9","0,03%"
"151","#empresa","9","0,03%"
"152","#dores>DIV.container:nth-of-type(2)","9","0,03%"
"153","#agentes>DIV:nth-of-type(1)>H3:nth-of-type(1)","8","0,03%"
"154","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-header.revealed:nth-of-type(1)","8","0,03%"
